conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,tokens_context,inset_score,inset_sentiment,matched_words
2069129919175750026,Mon Jun 22 18:46:29 +0000 2026,2,Komisi IX : OJK harus perkuat teknologi dan literasi keuangan untuk berantas pinjol ilegal https://t.co/8JgRPYU9tj,2069129919175750026,https://pbs.twimg.com/media/HLcGrEabUAASdWP.jpg,,in,,0,0,0,https://x.com/undefined/status/2069129919175750026,1928936069803945986,,komisi ix ojk harus perkuat teknologi dan literasi keuangan untuk berantas pinjol ilegal,"['komisi', 'ix', 'ojk', 'harus', 'perkuat', 'teknologi', 'dan', 'literasi', 'keuangan', 'untuk', 'berantas', 'pinjol', 'ilegal']",-2.0,Negative,2
2069110437195796871,Mon Jun 22 17:39:34 +0000 2026,1,Judi online dan pinjaman online ilegal sering berjalan beriringan dan datanya membuktikan ini bukan kebetulan. Pola yang ditemukan PPATK: 1️⃣ Pemain kalah judi online → butuh dana cepat 2️⃣ Pinjol ilegal menawarkan pinjaman tanpa syarat ketat 3️⃣ Bunga mencekik + denda harian,2069113076616679810,,hisjam,in,,0,1,0,https://x.com/undefined/status/2069113076616679810,64954149,,judi online dan pinjaman online ilegal sering berjalan beriringan dan datanya membuktikan ini bukan_kebetulan pola yang ditemukan ppatk 1 pemain kalah judi online butuh dana cepat 2 pinjol ilegal menawarkan pinjaman tanpa syarat ketat 3 bunga mencekik denda harian,"['judi', 'online', 'dan', 'pinjaman', 'online', 'ilegal', 'sering', 'berjalan', 'beriringan', 'dan', 'datanya', 'membuktikan', 'ini', 'bukan kebetulan', 'pola', 'yang', 'ditemukan', 'ppatk', 'pemain', 'kalah', 'judi', 'online', 'butuh', 'dana', 'cepat', 'pinjol', 'ilegal', 'menawarkan', 'pinjaman', 'tanpa', 'syarat', 'ketat', 'bunga', 'mencekik', 'denda', 'harian']",-21.0,Negative,13
2069044467718627628,Mon Jun 22 13:06:56 +0000 2026,1,Ini buat perbedaan yang belum tau bedanya antara legal &amp; ilegal. Banyak pinjol legal yang gak taat aturan. Mereka banyak yg doxxing menghubungi keluar kontak darurat teks ancaman dll. Karena lebih baik JAUHI PINJOL apapun. Dan semoga kita dilimpahkan rezeki yg halal.,2069044467718627628,,,in,,0,0,0,https://x.com/undefined/status/2069044467718627628,1475680121935646724,,ini buat perbedaan yang belum tau bedanya antara legal amp ilegal banyak pinjol legal yang tidak_taat aturan mereka banyak yg doxxing menghubungi keluar kontak darurat teks ancaman dll karena lebih baik jauhi pinjol apapun dan semoga kita dilimpahkan rezeki yg halal,"['ini', 'buat', 'perbedaan', 'yang', 'belum', 'tau', 'bedanya', 'antara', 'legal', 'amp', 'ilegal', 'banyak', 'pinjol', 'legal', 'yang', 'tidak taat', 'aturan', 'mereka', 'banyak', 'yg', 'doxxing', 'menghubungi', 'keluar', 'kontak', 'darurat', 'teks', 'ancaman', 'dll', 'karena', 'lebih', 'baik', 'jauhi', 'pinjol', 'apapun', 'dan', 'semoga', 'kita', 'dilimpahkan', 'rezeki', 'yg', 'halal']",-38.0,Negative,17
2068922001092157508,Mon Jun 22 05:00:18 +0000 2026,1,Komisi XI: OJK Harus Perkuat Teknologi dan Literasi Keuangan untuk Berantas Pinjol Ilegal https://t.co/h0nU1Kh0kw https://t.co/wgcK7cFsvI,2068922001092157508,https://pbs.twimg.com/media/HLZJmJpWsAAMoiT.jpg,,in,,0,0,1,https://x.com/undefined/status/2068922001092157508,211415705,,komisi xi ojk harus perkuat teknologi dan literasi keuangan untuk berantas pinjol ilegal,"['komisi', 'xi', 'ojk', 'harus', 'perkuat', 'teknologi', 'dan', 'literasi', 'keuangan', 'untuk', 'berantas', 'pinjol', 'ilegal']",-2.0,Negative,2
2068919581520097747,Mon Jun 22 04:50:41 +0000 2026,0,pinjol ilegal dan judi online adalah kombinasi nyata yang memicu tindak kriminalitas. yuk laporkan jika tahu ada indikasi judol di sekitar kita guna Wujudkan Indonesia Nyaman. #BerantasTindakKejahatan https://t.co/58E9hzOQud,2068919581520097747,https://pbs.twimg.com/media/HLZHZAMa8AAl4HA.jpg,,in,,0,0,0,https://x.com/undefined/status/2068919581520097747,1901525315610165248,,pinjol ilegal dan judi online adalah kombinasi nyata yang memicu tindak kriminalitas yuk laporkan jika tahu ada indikasi judol di sekitar kita guna wujudkan indonesia nyaman,"['pinjol', 'ilegal', 'dan', 'judi', 'online', 'adalah', 'kombinasi', 'nyata', 'yang', 'memicu', 'tindak', 'kriminalitas', 'yuk', 'laporkan', 'jika', 'tahu', 'ada', 'indikasi', 'judol', 'di', 'sekitar', 'kita', 'guna', 'wujudkan', 'indonesia', 'nyaman']",-5.0,Negative,9
2068919421285134508,Mon Jun 22 04:50:03 +0000 2026,0,jangan sampai jebakan judi online menghancurkan masa depan kita dan keluarga. mari bersama-sama kita perkuat edukasi finansial dan Wujudkan Indonesia Nyaman tanpa jeratan pinjol ilegal. #BerantasTindakKejahatan https://t.co/Na273UwylV,2068919421285134508,https://pbs.twimg.com/media/HLZHPllbsAApZ0P.jpg,,in,,0,0,0,https://x.com/undefined/status/2068919421285134508,1952381683619311616,,jangan sampai jebakan judi online menghancurkan masa depan kita dan keluarga mari bersama sama kita perkuat edukasi finansial dan wujudkan indonesia nyaman tanpa jeratan pinjol ilegal,"['jangan', 'sampai', 'jebakan', 'judi', 'online', 'menghancurkan', 'masa', 'depan', 'kita', 'dan', 'keluarga', 'mari', 'bersama', 'sama', 'kita', 'perkuat', 'edukasi', 'finansial', 'dan', 'wujudkan', 'indonesia', 'nyaman', 'tanpa', 'jeratan', 'pinjol', 'ilegal']",-2.0,Negative,9
2068654275782234171,Mon Jun 22 04:19:41 +0000 2026,7,@yappingfess Ga papa nder Cara tagihnya juga udh sesuai standard pinjol ilegal ,2068911779909107957,,yappingfess,in,,0,0,0,https://x.com/undefined/status/2068911779909107957,1561311979934851073,,tidak_papa nder cara tagihnya juga sudah sesuai standard pinjol ilegal,"['tidak papa', 'nder', 'cara', 'tagihnya', 'juga', 'sudah', 'sesuai', 'standard', 'pinjol', 'ilegal']",1.0,Positive,2
2068898430647455887,Mon Jun 22 03:26:38 +0000 2026,0,Masih sering menyebut semua layanan pinjaman online sebagai pinjol ? Yuk kenali bedanya! Pinjol Ilegal Tidak memiliki izin dari OJK Berpotensi menyalahgunakan data pribadi Tidak memiliki perlindungan konsumen yang jelas Sering menggunakan cara penagihan yang https://t.co/HrHAAjUeNZ,2068898430647455887,https://pbs.twimg.com/media/HLY0Jo_aYAA9kTr.jpg,,in,,0,0,0,https://x.com/undefined/status/2068898430647455887,1864964704243978242,,masih sering menyebut semua layanan pinjaman online sebagai pinjol yuk kenali bedanya pinjol ilegal tidak_memiliki izin dari ojk berpotensi menyalahgunakan data pribadi tidak_memiliki perlindungan konsumen yang jelas sering menggunakan cara penagihan yang,"['masih', 'sering', 'menyebut', 'semua', 'layanan', 'pinjaman', 'online', 'sebagai', 'pinjol', 'yuk', 'kenali', 'bedanya', 'pinjol', 'ilegal', 'tidak memiliki', 'izin', 'dari', 'ojk', 'berpotensi', 'menyalahgunakan', 'data', 'pribadi', 'tidak memiliki', 'perlindungan', 'konsumen', 'yang', 'jelas', 'sering', 'menggunakan', 'cara', 'penagihan', 'yang']",-13.0,Negative,13
2068860388536676702,Mon Jun 22 01:36:07 +0000 2026,0,Post 22: Konsumerisme Neoliberalisme dan Kejahatan Digital Cultural criminology mengkaji bagaimana konsumerisme dan budaya neoliberal membentuk kejahatan modern (Hayward 2004). Di Indonesia fenomena judi online pinjaman online ilegal kejahatan siber dan penipuan,2068870615239704745,,hisjam,in,,0,1,0,https://x.com/undefined/status/2068870615239704745,64954149,,post 22 konsumerisme neoliberalisme dan kejahatan digital cultural criminology mengkaji bagaimana konsumerisme dan budaya neoliberal membentuk kejahatan modern hayward 2004 di indonesia fenomena judi online pinjaman online ilegal kejahatan siber dan penipuan,"['post', '22', 'konsumerisme', 'neoliberalisme', 'dan', 'kejahatan', 'digital', 'cultural', 'criminology', 'mengkaji', 'bagaimana', 'konsumerisme', 'dan', 'budaya', 'neoliberal', 'membentuk', 'kejahatan', 'modern', 'hayward', '2004', 'di', 'indonesia', 'fenomena', 'judi', 'online', 'pinjaman', 'online', 'ilegal', 'kejahatan', 'siber', 'dan', 'penipuan']",-2.0,Negative,2
2068800072234803619,Sun Jun 21 20:55:48 +0000 2026,8,jujur capek banget punya ortu yg financial planningnya kacau balau dari aku kecil udah diharusin bgt ikut mikir masalah ekonomi ortu (karena aku anak pertama) makin dewasa makin parah sebelum nikah aku jadi tulang punggung setelah nikah pun tetep dijadiin dana darurat mrk https://t.co/7f05VJzPdA,2068800072234803619,https://pbs.twimg.com/media/HLXast5aEAAN51-.jpg,,in,,0,1,5,https://x.com/undefined/status/2068800072234803619,2057778795252424704,,jujur capek banget punya ortu yg financial planningnya kacau balau dari aku kecil udah diharusin banget ikut mikir masalah ekonomi ortu karena aku anak pertama makin dewasa makin parah sebelum nikah aku jadi tulang punggung setelah nikah pun tetep dijadiin dana darurat mrk,"['jujur', 'capek', 'banget', 'punya', 'ortu', 'yg', 'financial', 'planningnya', 'kacau', 'balau', 'dari', 'aku', 'kecil', 'udah', 'diharusin', 'banget', 'ikut', 'mikir', 'masalah', 'ekonomi', 'ortu', 'karena', 'aku', 'anak', 'pertama', 'makin', 'dewasa', 'makin', 'parah', 'sebelum', 'nikah', 'aku', 'jadi', 'tulang', 'punggung', 'setelah', 'nikah', 'pun', 'tetep', 'dijadiin', 'dana', 'darurat', 'mrk']",-39.0,Negative,26
