username,full_text,clean_text,dominant_topic,topic_label,topic_prob,prob_topik_0,prob_topik_1
,Komisi IX : OJK harus perkuat teknologi dan literasi keuangan untuk berantas pinjol ilegal https://t.co/8JgRPYU9tj,komisi ix ojk harus perkuat teknologi dan literasi keuangan untuk berantas pinjol ilegal,1,Keluhan korban nyata,0.9485504916520049,0.05144950834799509,0.9485504916520049
,Judi online dan pinjaman online ilegal sering berjalan beriringan dan datanya membuktikan ini bukan kebetulan. Pola yang ditemukan PPATK: 1️⃣ Pemain kalah judi online → butuh dana cepat 2️⃣ Pinjol ilegal menawarkan pinjaman tanpa syarat ketat 3️⃣ Bunga mencekik + denda harian,judi online dan pinjaman online ilegal sering berjalan beriringan dan datanya membuktikan ini bukan_kebetulan pola yang ditemukan ppatk 1 pemain kalah judi online butuh dana cepat 2 pinjol ilegal menawarkan pinjaman tanpa syarat ketat 3 bunga mencekik denda harian,1,Keluhan korban nyata,0.9740524229673396,0.025947577032660405,0.9740524229673396
,Ini buat perbedaan yang belum tau bedanya antara legal &amp; ilegal. Banyak pinjol legal yang gak taat aturan. Mereka banyak yg doxxing menghubungi keluar kontak darurat teks ancaman dll. Karena lebih baik JAUHI PINJOL apapun. Dan semoga kita dilimpahkan rezeki yg halal.,ini buat perbedaan yang belum tau bedanya antara legal amp ilegal banyak pinjol legal yang tidak_taat aturan mereka banyak yg doxxing menghubungi keluar kontak darurat teks ancaman dll karena lebih baik jauhi pinjol apapun dan semoga kita dilimpahkan rezeki yg halal,0,Promosi/bot Pinjol,0.9689926620659498,0.9689926620659498,0.031007337934050163
,Komisi XI: OJK Harus Perkuat Teknologi dan Literasi Keuangan untuk Berantas Pinjol Ilegal https://t.co/h0nU1Kh0kw https://t.co/wgcK7cFsvI,komisi xi ojk harus perkuat teknologi dan literasi keuangan untuk berantas pinjol ilegal,1,Keluhan korban nyata,0.9485504916520049,0.05144950834799509,0.9485504916520049
,pinjol ilegal dan judi online adalah kombinasi nyata yang memicu tindak kriminalitas. yuk laporkan jika tahu ada indikasi judol di sekitar kita guna Wujudkan Indonesia Nyaman. #BerantasTindakKejahatan https://t.co/58E9hzOQud,pinjol ilegal dan judi online adalah kombinasi nyata yang memicu tindak kriminalitas yuk laporkan jika tahu ada indikasi judol di sekitar kita guna wujudkan indonesia nyaman,1,Keluhan korban nyata,0.9448835084515173,0.055116491548482756,0.9448835084515173
,jangan sampai jebakan judi online menghancurkan masa depan kita dan keluarga. mari bersama-sama kita perkuat edukasi finansial dan Wujudkan Indonesia Nyaman tanpa jeratan pinjol ilegal. #BerantasTindakKejahatan https://t.co/Na273UwylV,jangan sampai jebakan judi online menghancurkan masa depan kita dan keluarga mari bersama sama kita perkuat edukasi finansial dan wujudkan indonesia nyaman tanpa jeratan pinjol ilegal,1,Keluhan korban nyata,0.9654282277368933,0.03457177226310664,0.9654282277368933
,@yappingfess Ga papa nder Cara tagihnya juga udh sesuai standard pinjol ilegal ,tidak_papa nder cara tagihnya juga sudah sesuai standard pinjol ilegal,0,Promosi/bot Pinjol,0.5442373562682152,0.5442373562682152,0.4557626437317848
,Masih sering menyebut semua layanan pinjaman online sebagai pinjol ? Yuk kenali bedanya! Pinjol Ilegal Tidak memiliki izin dari OJK Berpotensi menyalahgunakan data pribadi Tidak memiliki perlindungan konsumen yang jelas Sering menggunakan cara penagihan yang https://t.co/HrHAAjUeNZ,masih sering menyebut semua layanan pinjaman online sebagai pinjol yuk kenali bedanya pinjol ilegal tidak_memiliki izin dari ojk berpotensi menyalahgunakan data pribadi tidak_memiliki perlindungan konsumen yang jelas sering menggunakan cara penagihan yang,1,Keluhan korban nyata,0.9020167554759124,0.09798324452408766,0.9020167554759124
,Post 22: Konsumerisme Neoliberalisme dan Kejahatan Digital Cultural criminology mengkaji bagaimana konsumerisme dan budaya neoliberal membentuk kejahatan modern (Hayward 2004). Di Indonesia fenomena judi online pinjaman online ilegal kejahatan siber dan penipuan,post 22 konsumerisme neoliberalisme dan kejahatan digital cultural criminology mengkaji bagaimana konsumerisme dan budaya neoliberal membentuk kejahatan modern hayward 2004 di indonesia fenomena judi online pinjaman online ilegal kejahatan siber dan penipuan,1,Keluhan korban nyata,0.9666835906519514,0.03331640934804854,0.9666835906519514
,jujur capek banget punya ortu yg financial planningnya kacau balau dari aku kecil udah diharusin bgt ikut mikir masalah ekonomi ortu (karena aku anak pertama) makin dewasa makin parah sebelum nikah aku jadi tulang punggung setelah nikah pun tetep dijadiin dana darurat mrk https://t.co/7f05VJzPdA,jujur capek banget punya ortu yg financial planningnya kacau balau dari aku kecil udah diharusin banget ikut mikir masalah ekonomi ortu karena aku anak pertama makin dewasa makin parah sebelum nikah aku jadi tulang punggung setelah nikah pun tetep dijadiin dana darurat mrk,0,Promosi/bot Pinjol,0.7632113228838253,0.7632113228838253,0.2367886771161746
